Spiel,Action,Drittel,Linien For,Nummerische Spielsituation,Spieler Tigers,Taktische Spielsituation,ZOE_For,ZOE_Against,Schussmetrik,Schusslabels
2022-01-24_vs_VF5FBK,ZOE Gegner: 1,D1,L2,5:5,,Auslösung,,Good,,
2022-01-24_vs_VF5FBK,ZOE Gegner: 2,D1,L2,5:5,,Auslösung,,Good,,
2022-01-24_vs_VF5FBK,ZOE Gegner: 3,D1,L3,5:5,,Auslösung,,Bad,,
2022-01-24_vs_VF5FBK,ZOE Gegner: 4,D1,L1,5:5,,Auslösung,,Good,,
2022-01-24_vs_VF5FBK,ZOE Gegner: 5,D1,L1,5:5,,Auslösung,,Bad,,
2022-01-24_vs_VF5FBK,ZOE Gegner: 6,D1,L2,5:5,,Auslösung,,Bad,,
2022-01-24_vs_VF5FBK,ZOE Gegner: 7,D1,L1,5:5,,Auslösung,,Bad,,
2022-01-24_vs_VF5FBK,ZOE Gegner: 8,D1,L1,5:5,,Auslösung,,Good,,
2022-01-24_vs_VF5FBK,ZOE Gegner: 9,D2,L3,5:5,,Auslösung,,Bad,,
2022-01-24_vs_VF5FBK,ZOE Gegner: 10,D2,L1,5:5,,Auslösung,,Good,,
2022-01-24_vs_VF5FBK,ZOE Gegner: 11,D2,L1,5:5,,Auslösung,,Bad,,
2022-01-24_vs_VF5FBK,ZOE Gegner: 12,D2,L1,5:5,,Auslösung,,Good,,
2022-01-24_vs_VF5FBK,Low Q Chance Against: 1,D1,L1,5:5,,Festsetzen,,,,
2022-01-24_vs_VF5FBK,Low Q Chance Against: 2,D1,L2,5:5,,Nachsetzen,,,,
2022-01-24_vs_VF5FBK,Low Q Chance Against: 3,D1,L1,5:5,,Standart,,,,
2022-01-24_vs_VF5FBK,Low Q Chance Against: 4,D1,L3,5:5,,Auslösung,,,,
2022-01-24_vs_VF5FBK,Low Q Chance Against: 5,D1,L2,5:5,,Auslösung,,,,
2022-01-24_vs_VF5FBK,Low Q Chance Against: 6,D1,L1,5:5,,Standart,,,,
2022-01-24_vs_VF5FBK,Low Q Chance Against: 7,D1,L1,5:5,,Auslösung,,,,
2022-01-24_vs_VF5FBK,Low Q Chance Against: 8,D2,L1,5:5,,Festsetzen,,,,
2022-01-24_vs_VF5FBK,Low Q Chance Against: 9,D2,L2,5:5,,Auslösung,,,,
2022-01-24_vs_VF5FBK,Low Q Chance Against: 10,D2,L1,5:5,,Standart,,,,
2022-01-24_vs_VF5FBK,Low Q Chance Against: 11,D2,L1,5:5,,Konter,,,,
2022-01-24_vs_VF5FBK,Low Q Chance Against: 12,D2,L2,5:5,,Auslösung,,,,
2022-01-24_vs_VF5FBK,Low Q Chance Against: 13,D2,L1,5:5,,Auslösung,,,,
2022-01-24_vs_VF5FBK,Low Q Chance Against: 14,D3,L1,5:5,,Festsetzen,,,,
2022-01-24_vs_VF5FBK,Low Q Chance Against: 15,D3,L2,5:5,,Konter,,,,
2022-01-24_vs_VF5FBK,Low Q Chance Against: 16,D3,L1,5:5,,Konter,,,,
2022-01-24_vs_VF5FBK,Low Q Chance Against: 17,D3,L3,5:5,,Festsetzen,,,,
2022-01-24_vs_VF5FBK,Low Q Chance Against: 18,D3,L3,5:5,,Konter,,,,
2022-01-24_vs_VF5FBK,Low Q Chance Against: 19,D3,L2,5:5,,Konter,,,,
2022-01-24_vs_VF5FBK,High Q Chance Against: 1,D1,L2,5:5,,Konter,,,,
2022-01-24_vs_VF5FBK,High Q Chance Against: 2,D3,L1,5:5,,Konter,,,,
2022-01-24_vs_VF5FBK,High Q Chance Against: 3,D3,L1,5:5,,Nachsetzen,,,,
2022-01-24_vs_VF5FBK,High Q Chance Against: 4,D3,L3,5:5,,Konter,,,,
2022-01-24_vs_VF5FBK,Pot + Chance For: 1,D1,L2,5:5,Simon Steiner,Konter,,,,
2022-01-24_vs_VF5FBK,Pot + Chance For: 2,D1,L1,5:5,Janis Lauber,Konter,,,,
2022-01-24_vs_VF5FBK,Pot + Chance For: 3,D3,L1,5:5,"Matteo Steiner, Matteo Steiner",Konter,,,,
2022-01-24_vs_VF5FBK,Pot + Chance For: 4,D3,L2,5:5,Simon Steiner,Konter,,,,
2022-01-24_vs_VF5FBK,Pot + Chance For: 5,D3,L2,5:5,Kevin Kropf,Festsetzen,,,,
2022-01-24_vs_VF5FBK,Pot + Chance For: 6,D3,L2,5:5,Janis Lauber,Festsetzen,,,,
2022-01-24_vs_VF5FBK,Low Q Chance For: 1,D1,L1,5:5,Matteo Steiner,Standart,,,,
2022-01-24_vs_VF5FBK,Low Q Chance For: 2,D1,L1,5:5,Simon Steiner,Konter,,,,
2022-01-24_vs_VF5FBK,Low Q Chance For: 3,D1,L2,5:5,Simon Steiner,Konter,,,,
2022-01-24_vs_VF5FBK,Low Q Chance For: 4,D1,L2,5:5,Gustav Svensson,Festsetzen,,,,
2022-01-24_vs_VF5FBK,Low Q Chance For: 5,D1,L1,5:5,Matteo Steiner,Konter,,,,
2022-01-24_vs_VF5FBK,Low Q Chance For: 6,D1,L2,5:5,Simon Steiner,Konter,,,,
2022-01-24_vs_VF5FBK,Low Q Chance For: 7,D2,L2,5:5,Gustav Svensson,Festsetzen,,,,
2022-01-24_vs_VF5FBK,Low Q Chance For: 8,D2,L3,5:5,Martin Mosimann,Auslösung,,,,
2022-01-24_vs_VF5FBK,Low Q Chance For: 9,D2,L3,5:5,Jan Ewald,Standart,,,,
2022-01-24_vs_VF5FBK,Low Q Chance For: 10,D2,L3,5:5,Kevin Kropf,Auslösung,,,,
2022-01-24_vs_VF5FBK,Low Q Chance For: 11,D2,L3,5:5,Simon Steiner,Auslösung,,,,
2022-01-24_vs_VF5FBK,Low Q Chance For: 12,D2,L1,5:5,Marco Oliver Gerber,Pressing,,,,
2022-01-24_vs_VF5FBK,Low Q Chance For: 13,D2,L2,5:5,Simon Steiner,Auslösung,,,,
2022-01-24_vs_VF5FBK,Low Q Chance For: 14,D2,L1,5:5,Marco Oliver Gerber,Standart,,,,
2022-01-24_vs_VF5FBK,Low Q Chance For: 15,D2,L1,5:5,Kevin Kropf,Auslösung,,,,
2022-01-24_vs_VF5FBK,Low Q Chance For: 16,D2,L1,5:5,Gustav Svensson,Standart,,,,
2022-01-24_vs_VF5FBK,Low Q Chance For: 17,D2,L1,5:5,Marco Oliver Gerber,Auslösung,,,,
2022-01-24_vs_VF5FBK,Low Q Chance For: 18,D2,L1,5:5,"Marco Oliver Gerber, Marco Oliver Gerber",Auslösung,,,,
2022-01-24_vs_VF5FBK,Low Q Chance For: 19,D2,L1,5:5,Simon Steiner,Auslösung,,,,
2022-01-24_vs_VF5FBK,Low Q Chance For: 20,D2,L1,5:5,Maurice Aebersold,Konter,,,,
2022-01-24_vs_VF5FBK,Low Q Chance For: 21,D3,L1,5:5,"Matteo Steiner, Matteo Steiner",Festsetzen,,,,
2022-01-24_vs_VF5FBK,Low Q Chance For: 22,D3,L1,5:5,Martin Mosimann,Standart,,,,
2022-01-24_vs_VF5FBK,Low Q Chance For: 23,D3,L1,5:5,Simon Steiner,Festsetzen,,,,
2022-01-24_vs_VF5FBK,Low Q Chance For: 24,D3,L2,5:5,Simon Steiner,Festsetzen,,,,
2022-01-24_vs_VF5FBK,Low Q Chance For: 25,D3,L2,5:5,Simon Steiner,Festsetzen,,,,
2022-01-24_vs_VF5FBK,Low Q Chance For: 26,D3,L2,5:5,Simon Steiner,Festsetzen,,,,
2022-01-24_vs_VF5FBK,Low Q Chance For: 27,D3,L2,5:5,Kevin Kropf,Festsetzen,,,,
2022-01-24_vs_VF5FBK,Low Q Chance For: 28,D3,L1,5:5,Stefan Siegenthaler,Standart,,,,
2022-01-24_vs_VF5FBK,Low Q Chance For: 29,D3,L2,5:5,Stefan Siegenthaler,Festsetzen,,,,
2022-01-24_vs_VF5FBK,Low Q Chance For: 30,D3,L2,5:5,Gustav Svensson,Festsetzen,,,,
2022-01-24_vs_VF5FBK,Low Q Chance For: 31,D3,L1,5:5,Janis Lauber,Konter,,,,
2022-01-24_vs_VF5FBK,Low Q Chance For: 32,D3,L1,5:5,Martin Mosimann,Festsetzen,,,,
2022-01-24_vs_VF5FBK,Low Q Chance For: 33,D3,L2,5:5,Janis Lauber,Festsetzen,,,,
2022-01-24_vs_VF5FBK,Low Q Chance For: 34,D3,L1,5:5,Matteo Steiner,Konter,,,,
2022-01-24_vs_VF5FBK,Mid Q Chance For: 1,D1,L2,5:5,"Kevin Kropf, Kevin Kropf",Standart,,,,
2022-01-24_vs_VF5FBK,Mid Q Chance For: 2,D1,L1,5:5,Janis Lauber,Konter,,,,
2022-01-24_vs_VF5FBK,Mid Q Chance For: 3,D1,L1,5:5,Christian Stucki,Festsetzen,,,,
2022-01-24_vs_VF5FBK,Mid Q Chance Against: 1,D1,L1,5:5,,Konter,,,,
2022-01-24_vs_VF5FBK,Mid Q Chance Against: 2,D1,L1,5:5,,Auslösung,,,,
2022-01-24_vs_VF5FBK,Mid Q Chance Against: 3,D3,L1,5:5,,Konter,,,,
2022-01-24_vs_VF5FBK,Mid Q Chance Against: 4,D3,L3,5:5,,Konter,,,,
2022-01-24_vs_VF5FBK,Tor Gegner: 1,D1,L3,5:5,,Nachsetzen,,,,
2022-01-24_vs_VF5FBK,Tor Gegner: 2,D1,L1,5:5,,Standart,,,,
2022-01-24_vs_VF5FBK,Tor Gegner: 3,D1,L2,5:5,,Auslösung,,,,
2022-01-24_vs_VF5FBK,Tor Gegner: 4,D2,L2,5:5,,Nachsetzen,,,,
2022-01-24_vs_VF5FBK,Tor Gegner: 5,D2,BP2,4:5,,Nachsetzen,,,,
2022-01-24_vs_VF5FBK,Tor Gegner: 6,D3,PP1,5:4,,Nachsetzen,,,,
2022-01-24_vs_VF5FBK,Tor Gegner: 7,D3,L1,5:5,,Standart,,,,
2022-01-24_vs_VF5FBK,Tor Gegner: 8,D3,L3,5:5,,Konter,,,,
2022-01-24_vs_VF5FBK,Tor Gegner: 9,D3,6:5,6:5,,Standart,,,,
2022-01-24_vs_VF5FBK,ZOE For: 1,D1,L1,5:5,,Auslösung,Good,,,
2022-01-24_vs_VF5FBK,ZOE For: 2,D1,L2,5:5,,Auslösung,Good,,,
2022-01-24_vs_VF5FBK,ZOE For: 3,D1,L1,5:5,Martin Mosimann,Auslösung,Bad,,,
2022-01-24_vs_VF5FBK,ZOE For: 4,D1,L2,5:5,,Auslösung,Good,,,
2022-01-24_vs_VF5FBK,ZOE For: 5,D2,L2,5:5,,Auslösung,Good,,,
2022-01-24_vs_VF5FBK,ZOE For: 6,D2,L1,5:5,,Auslösung,Bad,,,
2022-01-24_vs_VF5FBK,ZOE For: 7,D2,L2,5:5,,Auslösung,Good,,,
2022-01-24_vs_VF5FBK,ZOE For: 8,D2,L3,5:5,,Auslösung,Good,,,
2022-01-24_vs_VF5FBK,ZOE For: 9,D2,L2,5:5,,Auslösung,Bad,,,
2022-01-24_vs_VF5FBK,ZOE For: 10,D2,L2,5:5,,Auslösung,Good,,,
2022-01-24_vs_VF5FBK,ZOE For: 11,D2,L1,5:5,,Auslösung,Good,,,
2022-01-24_vs_VF5FBK,ZOE For: 12,D2,L2,5:5,,Auslösung,Good,,,
2022-01-24_vs_VF5FBK,ZOE For: 13,D2,L1,5:5,,Auslösung,Bad,,,
2022-01-24_vs_VF5FBK,ZOE For: 14,D3,L1,5:5,,Auslösung,Good,,,
2022-01-24_vs_VF5FBK,ZOE For: 15,D3,L1,5:5,,Auslösung,Good,,,
2022-01-24_vs_VF5FBK,ZOE For: 16,D3,L3,5:5,,Auslösung,Bad,,,
2022-01-24_vs_VF5FBK,Tor Tigers: 1,D2,L3,5:5,Martin Mosimann,Festsetzen,,,,
2022-01-24_vs_VF5FBK,Tor Tigers: 2,D3,PP1,5:4,Marco Rentsch,,,,,
2022-01-24_vs_VF5FBK,Tor Tigers: 3,D3,L2,5:5,Janis Lauber,Nachsetzen,,,,
2022-01-24_vs_VF5FBK,Tor Tigers: 4,D3,L1,5:5,Matteo Steiner,Auslösung,,,,
2022-01-24_vs_VF5FBK,Tor Tigers: 5,D3,L2,5:5,Janis Lauber,Festsetzen,,,,
2022-01-24_vs_VF5FBK,High Q Chance For: 1,D2,L1,5:5,Marco Oliver Gerber,Nachsetzen,,,,
2022-01-24_vs_VF5FBK,,,,,,,,,,
2022-01-24_vs_VF5FBK,,,,,,,,,,
